216.62583863, cell no: 116, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.816886388138, psi:989.19580287, cell no: 154, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.820432428948, psi:954.376936431, cell no: 198, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.981465493926, psi:411.831369339, cell no: 494, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.853072046638, psi:691.123821061, cell no: 400, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.793894629983, psi:1252.72059668, cell no: 596, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.956226143966, psi:425.398378125, cell no: 1699, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:292.32309, cell no: 3100, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.964445260146, psi:409.546695533, cell no: 2001, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.985631312143, psi:305.739207194, cell no: 3195, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.965754156025, psi:381.802406938, cell no: 1586, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.942607164295, psi:412.42650549, cell no: 3284, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.977881606883, psi:360.029254381, cell no: 2097, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.968958605304, psi:368.25625405, cell no: 3312, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:292.32309, cell no: 2096, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:261.100006, cell no: 1585, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.981908645828, psi:351.820734414, cell no: 3247, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.97899622768, psi:326.535369628, cell no: 3313, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:276.76001, cell no: 3314, and time step: 36
